,paper_id,author_name,author_affiliation,authorId,affiliation_type_auto,affiliation_type_full
3376,babeda48b10a4d638252118f2238d05a06f4ec55,Moin Nadeem,Massachusetts Institute of Technology,50411022,Academic,Academic
2594,273cfe6b6bc058af386658f58ec412cc005c5f50,H. Kawai,,1805595,,
2595,e510d2312e79bdfabc5c26402022b57286e7a7e9,Aditya Dasl,,2078493579,,
2596,e510d2312e79bdfabc5c26402022b57286e7a7e9,Shantanu Gawde,,52081073,,
2597,e510d2312e79bdfabc5c26402022b57286e7a7e9,K. Suratwala,,52070938,,
2598,e510d2312e79bdfabc5c26402022b57286e7a7e9,D. Kalbande,,2879555,,
2599,ce07300adc9fb911ae5f7a3e015c11005f6e6b04,J. Tiedemann,,143675545,,
2600,f3990dfa3537e344a9c2a80336a2ee2ea4d3efde,Gabriel Radanne,,3233168,,
2601,f3990dfa3537e344a9c2a80336a2ee2ea4d3efde,Jérôme Vouillon,,2468087,,
2602,529bfcc598e0019d3bd148b33f21af8173194fb8,Po-Wei Wang,,145980559,,
3377,babeda48b10a4d638252118f2238d05a06f4ec55,Moin Nadeem,MIT,50411022,Academic,Academic
3385,704ec27b8399df574a96da338c428a923509385e,Licheng Yu,University of North Carolina at Chapel Hill,1714982,Academic,Academic
2605,529bfcc598e0019d3bd148b33f21af8173194fb8,V. Mohan,,1776323,,
2606,529bfcc598e0019d3bd148b33f21af8173194fb8,I. Dhillon,,1783667,,
2607,529bfcc598e0019d3bd148b33f21af8173194fb8,J. Z. Kolter,,145116464,,
2608,4c381e3338260a924a99917c84219b1ba2b2fd09,T. Patel,,2273928,,
2609,4c381e3338260a924a99917c84219b1ba2b2fd09,N. KrishnaD.,,1411197478,,
2610,4c381e3338260a924a99917c84219b1ba2b2fd09,N. Fathima,,51267713,,
2611,4c381e3338260a924a99917c84219b1ba2b2fd09,Nisar Shah,,2114061492,,
2612,4c381e3338260a924a99917c84219b1ba2b2fd09,C. Mahima,,51262022,,
2613,4c381e3338260a924a99917c84219b1ba2b2fd09,D. Kumar,,2145099740,,
2614,4c381e3338260a924a99917c84219b1ba2b2fd09,Anuroop Iyengar,,51259092,,
2615,8124aa94db0e4eb5bc7d2f21ce7a9d293bc8e353,D. Fukunaga,,49271538,,
2616,8124aa94db0e4eb5bc7d2f21ce7a9d293bc8e353,Yoshiki Tanaka,,2112517704,,
2617,8124aa94db0e4eb5bc7d2f21ce7a9d293bc8e353,Yuichi Kageyama,,2067125452,,
3393,738215a396f6eee1709c6b521a6199769f0ce674,Prakhar Ganesh,Indian Institute of Technology Delhi,51236762,Academic,Academic
3411,fd9642b9a64553e36184565f1d21a2fa43b41362,Pratyush Kumar,Indian Institute of Technology Madras,38724234,Academic,Academic
2620,156d217b0a911af97fa1b5a71dc909ccef7a8028,Arman Cohan,,2527954,,
2621,83b8108014e3db4f46354a28ae68193f143c4e7e,Ziheng Wang,,2860279,,
3417,0b09448f7543453cc066416f547292dc1e4471f6,Patrick Lewis,University College London,145222654,Academic,Academic
2623,83b8108014e3db4f46354a28ae68193f143c4e7e,Tao Lei,,49986267,,
2624,8cf7ada228bdabeb56f028c6762f1cf82f4acd7c,Vladislav Blinov,,2053302599,,
3419,0b09448f7543453cc066416f547292dc1e4471f6,Nicola De Cao,The University of Edinburgh,41019080,Academic,Academic
3420,0b09448f7543453cc066416f547292dc1e4471f6,Nicola De Cao,University of Amsterdam,41019080,Academic,Academic
3456,e816f788767eec6a8ef0ea9eddd0e902435d4271,Doug Downey,Northwestern University,145612610,Academic,Academic
2628,ebb1f10d878e5720ac01796bfb6769290a71149b,Qing-yang Wu,,31060482,,
3457,e816f788767eec6a8ef0ea9eddd0e902435d4271,Noah A. Smith,University of Washington,144365875,Academic,Academic
3472,9927a15ddf5313d97c98f0111fd191caf507ce72,Tommaso Caselli,University of Groningen,1864635,Academic,Academic
2631,ebb1f10d878e5720ac01796bfb6769290a71149b,Zhou Yu,,1564034697,,
3473,9927a15ddf5313d97c98f0111fd191caf507ce72,Valerio Basile,University of Turin,3101511,Academic,Academic
2633,069e0d896da7c79faeee4cf057548d5da7ce885e,Loïc Vial,,27421936,,
2634,069e0d896da7c79faeee4cf057548d5da7ce885e,Jibril Frej,,35342746,,
2635,069e0d896da7c79faeee4cf057548d5da7ce885e,V. Segonne,,139097094,,
2636,069e0d896da7c79faeee4cf057548d5da7ce885e,Maximin Coavoux,,3443469,,
2637,069e0d896da7c79faeee4cf057548d5da7ce885e,B. Lecouteux,,1752710,,
2638,069e0d896da7c79faeee4cf057548d5da7ce885e,A. Allauzen,,2311059,,
2639,069e0d896da7c79faeee4cf057548d5da7ce885e,Benoit Crabb'e,,2064411934,,
2640,069e0d896da7c79faeee4cf057548d5da7ce885e,L. Besacier,,143823463,,
2641,069e0d896da7c79faeee4cf057548d5da7ce885e,D. Schwab,,2504683,,
2642,99ff0fc0b068726ee75402768c7cabe14e051402,Sooji Han,,2157605144,,
3502,29599829d26b4acaaf0ad88698ed4362d33b2ae7,Djamé Seddah,Sorbonne Université,1679170,Academic,Academic
3520,c77ad1104ffcb3df74915923dd1f72aa3ff4d619,Kexin Yang,Sichuan University,2004672900,Academic,Academic
2645,99ff0fc0b068726ee75402768c7cabe14e051402,F. Ciravegna,,1758555,,
2646,75acc731bdd2b626edc74672a30da3bc51010ae8,N. Keskar,,2844898,,
2647,75acc731bdd2b626edc74672a30da3bc51010ae8,Bryan McCann,,143775536,,
2648,75acc731bdd2b626edc74672a30da3bc51010ae8,L. Varshney,,1697944,,
3521,c77ad1104ffcb3df74915923dd1f72aa3ff4d619,Dayiheng Liu,Sichuan University,7415571,Academic,Academic
2650,75acc731bdd2b626edc74672a30da3bc51010ae8,R. Socher,,2166511,,
2651,c7fc1cac162c0e2a934704184c7554fd6b6253f0,Wenhan Xiong,,22253126,,
2652,c7fc1cac162c0e2a934704184c7554fd6b6253f0,Jingfei Du,,3048577,,
2653,c7fc1cac162c0e2a934704184c7554fd6b6253f0,William Yang Wang,,1682479,,
3531,2dc7741c3cd3c7fc0d0ae7b60cf7358f612e175b,Boxin Wang,University of Illinois at Urbana-Champaign,51454501,Academic,Academic
2655,aa68ea557777908e76f02c433f14ef6b968d4a82,Sam Witteveen,,115583560,,
2656,aa68ea557777908e76f02c433f14ef6b968d4a82,Martin Andrews,,145054309,,
